0,Emri,EmriTregtar,NrIBiznesit,Sektori,LlojiIbiznesit,Komuna,Popullsia2020,Data,NumriIpunetoreve,%astotalGDP(10 max),%assectorGDP(10 max),UljeApoNgritje
341,KOMARK SH.P.K.,///,811474866,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",30-10-2020,39,-1.3,-1.03,0
342,DIGITX SH.P.K.,///,811505364,Marketing,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",15-09-2020,19,-0.71,-0.72,0
343,URAVIZION EUROSCHOOL SH.P.K.,URAVIZION EUROSCHOOL,811320853,Stomatologji,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",26-10-2020,8,-3.04,-2.98,0
344,Bora CO L.L.C.,///,811455676,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",28-10-2020,7,-4.32,-3.15,0
345,Derin Pano Elektrik Elektronik & Construction L.L.C.,///,811558206,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",23-10-2020,9,3.92,2.78,0
346,Cafe Mali SH.P.K.,///,811507518,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,23,-3.97,-4.74,0
347,Shpendi Zogaj B.I.,Lea Burger,811558719,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",26-10-2020,25,-1.9,-4.74,0
348,Mirjana M. Gvozdic B.I.,"U.P. ""DOBRA KLOPA""",811125021,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Zvecan,7394,20-10-2020,41,-3.04,-3.21,0
349,MALI AGM SH.P.K.,///,811548562,Farmaceutike,Shoqeri me pergjegjesi te kufizuara,Malisheve,"62,738",15-09-2020,5,5.94,5.8,0
350,ALFA MEDI SH.P.K.,ALFA MEDI,811565615,Aktivitete spitalore,Shoqeri me pergjegjesi te kufizuara,Viti,"47,681",23-10-2020,12,5.64,6.28,0
351,Antigona BulliÃ§i B.I.,Snack Bar La Luna,811501429,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,25,-3.54,-4.74,0
352,Patundshmeria ER SH.P.K.,Patundshmeria ER,811480889,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",15-09-2020,7,-0.95,-0.9,0
353,Nora Batusha B.I.,PALACE AL,811318519,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",30-10-2020,13,-4.54,-3.15,0
354,Nike Adidas Vushtrri SH.P.K.,///,811325621,Tekstil,Shoqeri me pergjegjesi te kufizuara,Vushtrri,"73,207",30-10-2020,12,-2.26,-2.14,0
355,Kalaja 2019 SH.P.K.,Kalaja 2019,811317628,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Kllokot,"2,691",28-10-2020,7,-3.54,-3.15,0
356,Diamant Borovci B.I.,Auto Taxi Diamant Borovci,811559890,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,15,-1.98,-2.12,0
357,Faton R. Rexhepi B.I.,///,811511759,Sherbime tjera ushqyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,12,-1.01,-1.74,0
358,L a Pizza SH.P.K.,L a Pizza,811566150,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",26-10-2020,20,-2.91,-4.74,0
359,Te Agoni 97 SH.P.K.,Te Agoni 97,811472050,Tekstil,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",10/4/2020,15,-2.05,-2.14,0
360,91 GROUP SH.P.K.,91 GROUP,811501560,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",26-10-2020,30,-3.96,-4.74,0
361,Meriton F. Kastrati B.I.,Caffe Bar Miri,811513838,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",23-10-2020,7,3.1,2.78,0
362,Hotel Golden BNB SH.P.K.,///,811359183,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,9,-4.32,-3.15,0
363,SHESHI SH.P.K.,///,811183996,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",26-10-2020,20,1.32,1.3,0
364,Xhemail M. Krasniqi B.I.,"N.SH.H. MOTEL "" RIVIERA """,811257402,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",26-10-2020,10,-2.32,-3.15,0
365,FERMA BIO SH.P.K.,///,811127994,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",27-10-2020,38,-4.21,-3.21,0
366,Prishtina Ticket SH.P.K.,///,810034504,Transporti ajror,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,30,-3.72,-3.95,0
367,Magnolia SH.P.K.,///,811565681,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",28-10-2020,35,-1.64,-4.74,0
368,Besim MuÃ§iqi,Restaurant NBahqe SH.P.K.,810841412,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",20-10-2020,25,-5.7,-4.74,0
369,Antigona Muqolli B.I.,"N.P.H. "" TE PISHAT """,811264671,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",15-09-2020,13,-2.32,-3.15,0
370,UNITED HOSPITAL L.L.C.,UNITED HOSPITAL,811551599,Stomatologji,Shoqeri me pergjegjesi te kufizuara,Gracanice,"12,124",15-09-2020,10,-2.56,-2.98,0
371,Ejmen Osmani B.I.,Pizza Point,811560996,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",26-10-2020,25,-2.86,-4.74,0
372,OZ MARMARA DONER L.L.C.,OZ MARMARA DONER,811551193,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,25,-2.5,-4.74,0
373,VILLA CHECK IN SH.P.K.,///,810117699,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",30-10-2020,13,-3.54,-3.15,0
374,Radio Gjilani.1 SH.P.K.,///,811185736,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",23-10-2020,25,0.95,1.3,0
375,Dora d'Istria luxury SH.P.K.,Dora d'Istria luxury,811561209,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",26-10-2020,10,3.1,2.78,0
376,MANATE Lounge SH.P.K.,///,811514307,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Vushtrri,"63,548",28-10-2020,15,-4.89,-4.74,0
377,Dora Pr SH.P.K.,Agjensioni per patundshmeri,811463934,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,10,-0.85,-0.9,0
378,SWISS ASS SH.P.K.,SWISS ASS,811493709,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Lipjan,"60,859",26-10-2020,7,-3.32,-3.15,0
379,DARDANIA ROYAL SH.P.K.,DARDANIA ROYAL,811297557,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",30-10-2020,14,-4.54,-3.15,0
380,Nmolle Dessert SH.P.K.,Nmolle Dessert,811560029,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",28-10-2020,35,-5.62,-4.74,0
381,RESTAURANT ALBANI SH.P.K.,RESTAURANT ALBANI'',811558933,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Hani i Elezit,"9,985",23-10-2020,25,-2.86,-4.74,0
382,Radio Gjilani NN SH.P.K.,///,810057449,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",26-10-2020,12,1.3,1.3,0
383,FC HAJVALIA 2020 SH.P.K.,///,811415331,Aktivitete sportive,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,4,-5.2,-4.1,0
384,Bajram Rahmani B.I.,"D.P.Z. ""BAYRAMI""",811006651,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",22-10-2020,21,-2.45,-3.21,0
385,MEDIAFOKUS SH.P.K.,MEDIAFOKUS,811380188,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",27-10-2020,17,1.1,1.3,0
386,ARI SH.P.K.,///,810327701,Farmaceutike,Shoqeri me pergjegjesi te kufizuara,Kamenice,"36,155",30-10-2020,5,5.9,5.8,0
387,VERANDA MIA SH.P.K.,VERANDA MIA,811564865,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Lipjan,"60,859",15-09-2020,10,-2.31,-4.74,0
388,SHALA AG SH.P.K.,///,811499939,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",23-10-2020,41,-4.21,-3.21,0
389,Luan Nishevci B.I.,Pasticeria Aela Noli,811567158,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",30-10-2020,9,2.89,2.78,0
390,Luljete Kolgeci B.I.,"N.SH. "" UNO AIR """,811043132,Transporti ajror,Shoqeri me pergjegjesi te kufizuara,Suhareke,"63,228",26-10-2020,32,-3.72,-3.95,0
391,PLAY SH.P.K.,PLAY,811566358,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Viti,"47,681",15-09-2020,6,3.02,2.78,0
392,Arta Cakiqi B.I.,POWER HOUSE Gym,811358630,Palestra e fitnesit,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,9,-5.39,-3.5,0
393,airtiketa L.L.C.,airtiketa,811425158,Transporti ajror,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",26-10-2020,25,-3.72,-3.95,0
394,METROPOLI 2021 SH.P.K.,METROPOLI,811500116,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Gllogoc,"60,970",26-10-2020,5,2.7,2.78,0
395,BENELUX HOTEL SH.P.K.,///,811408245,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",15-09-2020,9,-3.15,-3.15,0
396,Leke Distribution SH.P.K.,Leke Distribution,811448910,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,50,-0.49,-1.03,0
397,Klubi i Futbollit Arberia L.L.C.,KF Arberia,811434141,Aktivitete sportive,Shoqeri me pergjegjesi te kufizuara,Lipjan,"60,859",15-09-2020,5,-4.32,-4.1,0
398,BEKSEFERS SH.P.K.,BEKSEFER'S,811502972,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Decan,"42,070",28-10-2020,7,3.02,2.78,0
399,Isuf S. BytyÃ§i B.I.,///,811012301,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",26-10-2020,25,1.54,1.3,0
400,ARDIT DYLA CORPORATION L.L.C.,ARDIT DYLA HOTELS,811422435,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",23-10-2020,10,-2.32,-3.15,0
401,Saral Electric International SH.P.K.,///,811566168,Stomatologji,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",28-10-2020,8,-2.56,-2.98,0
402,Radomir StankoviÄ I.B.,AVLIJA,811472761,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Kllokot,"2,691",27-10-2020,9,-4.32,-3.15,0
403,PREMIUM FV SH.P.K.,PREMIUM FV,811510446,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Viti,"47,681",26-10-2020,10,3.02,2.78,0
404,Drilon Pulaj B.I.,"N.SH. "" Pika """,810914839,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,17,1.1,1.3,0
405,Luzma Agency L.L.C.,Luzma,811564782,Marketing,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",23-10-2020,16,-0.78,-0.72,0
406,ARRA Bistro SH.P.K.,///,811553420,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Gracanice,"12,124",23-10-2020,9,-6,-4.74,0
407,NORA 2020 SH.P.K.,///,811453472,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",15-09-2020,45,-1.92,-1.03,0
408,Ramush Mehmeti B.I.,///,810150095,Aktivitete sportive,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",27-10-2020,12,-5.43,-4.1,0
409,METROPOLIS DISCOUNT SH.P.K.,///,811488502,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Istog,"40,728",28-10-2020,50,-1.3,-1.03,0
410,"Skender Gashi
Bejal Fazliu",Kompania E Sigurimit Eagle O.P.,833238323,Sigurime,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",22-10-2020,12,-0.01,-0.02,0
411,PREMIUM PARK SH.P.K.,PREMIUM PARK,811355545,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",28-10-2020,10,-3.21,-3.15,0
412,BISTRO SOFRA & PIZZERIA SH.P.K.,BISTRO SOFRA & PIZZERIA,811566415,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Vushtrri,"73,207",30-10-2020,8,2.18,2.78,0
413,Medcare Health Consulting SH.P.K.,Medcare Health Consulting,811465295,Aktivitete spitalore,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",30-10-2020,12,5.64,6.28,0
414,D K Beauty Center SH.P.K.,D K Beauty Center,811505124,Aktivitete spitalore,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",22-10-2020,42,7.8,6.28,0
415,Edde Holding SH.P.K.,Edde Holding,811517822,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,10,2.41,2.78,0
416,Hajdin Sh. Mazreku B.I.,///,811496034,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Malisheve,"62,738",26-10-2020,18,-2.23,-2.12,0
417,TAPIA REAL ESTATE SH.P.K.,TAPIA REAL ESTATE,811561704,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Gracanice,"12,124",28-10-2020,7,-0.85,-0.9,0
418,LEN'S Distribution L.L.C.,LEN'S Distribution,811550161,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",15-09-2020,45,-0.49,-1.03,0
419,Suhareka Online L.L.C.,Portali Suhareka Online,811303502,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Suhareke,"63,228",30-10-2020,17,0.86,1.3,0
420,Bedri J. Mustafa B.I.,FM Immobilien Kosova,811479626,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,9,-0.8,-0.9,0
421,Violeta Maxhuni B.I.,///,811400572,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,7,-3.32,-3.15,0
422,EU Å AJKAÄA SH.P.K.,"P.T.P. "" EU - Å AJKAÄA """,811479262,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Ranillug,"3,809",23-10-2020,37,-0.49,-1.03,0
423,Agro BENINI - Co SH.P.K.,///,811107037,Agrikultura,Shoqeri me pergjegjesi te kufizuara,Vushtrri,"73,207",15-09-2020,18,-0.02,-0.05,0
424,Cinco's SH.P.K.,///,811496026,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Mitrovice,"75,502",26-10-2020,32,-2.86,-4.74,0
425,Farm of Kosovo SH.P.K.,Farm of Kosovo,811487463,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Podujeve,"94,864",26-10-2020,5,2.18,2.78,0
426,Taverna Friends House SH.P.K.,Taverna Friends House,811556531,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,23,-2.14,-4.74,0
427,Turizmi OBO L.L.C.,Bey DÃ¶ner,811553503,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",20-10-2020,23,-6.47,-4.74,0
428,Villat Adriatiku SH.P.K.,Villat Adriatiku,811496000,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Podujeve,"94,864",15-09-2020,9,-3.32,-3.15,0
429,Gani Idrizi B.I.,D.P.T.'' IDRIZI '',811265752,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",15-09-2020,48,-2.48,-3.21,0
430,Konaku i Kosoves SH.P.K.,///,811500942,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",22-10-2020,23,-2.42,-4.74,0
431,IMAX SH.P.K.,///,811495325,Marketing,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",30-10-2020,12,-0.62,-0.72,0
432,Isa Caffe Lounge SH.P.K.,Isa Caffe Lounge,811549742,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Rahovec,"59,308",26-10-2020,18,-1.16,-4.74,0
433,MoEnJa SH.P.K.,///,811563586,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Dragash,"34,245",27-10-2020,5,2.89,2.78,0
434,Bora's Cake SH.P.K.,///,811554387,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Viti,"47,681",15-09-2020,10,3.02,2.78,0
435,Restaurant Fratello SH.P.K.,Restaurant Fratello,811565350,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",22-10-2020,10,-2.25,-4.74,0
436,Albind Ibrahimi B.I.,Ono bar,811563015,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",22-10-2020,7,2.18,2.78,0
437,POLIKLINIKA UROPRE SH.P.K.,POLIKLINIKA UROPRE,811552901,Stomatologji,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,6,-2.56,-2.98,0
438,Behar E. Krasniqi B.I.,Krasniqi Realestate,811475757,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Malisheve,"62,738",26-10-2020,9,-1.21,-0.9,0
439,Gazeta Flash 24 SH.P.K.,///,811273440,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",15-09-2020,16,1.53,1.3,0
440,Lumnije Xh. Krasniqi B.I.,Sweet House TROPICANA,811565409,Sherbime tjera ushqyese,Shoqeri me pergjegjesi te kufizuara,Kamenice,"29,454",28-10-2020,12,-1.01,-1.74,0
441,Driton Sa. Bajrami B.I.,AUTO TAXI Driton Sa Bajrami,811556705,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",15-09-2020,17,-2.09,-2.12,0
442,Edde Holding SH.P.K.,Edde Holding,811517822,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",15-09-2020,7,2.41,2.78,0
443,LAOS L.L.C.,LAOS,811493220,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",26-10-2020,33,-2.59,-3.21,0
444,EXSPRES TRAVEL L.L.C.,EXSPRES TRAVEL,811457169,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,10,-1.98,-2.12,0
445,Klubi i skitarise ALPI SH.P.K.,///,811352591,Aktivitete sportive,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",30-10-2020,12,-5.2,-4.1,0
446,Hotel Emerald SH.P.K.,Hotel Emerald,811491563,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Gracanice,"12,124",27-10-2020,7,-3.54,-3.15,0
447,REV CAFFE SH.P.K.,///,811556094,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",23-10-2020,35,-3.96,-4.74,0
448,RUBY REAL ESTATE SH.P.K.,RUBY REAL ESTATE,811505059,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,4,-1.21,-0.9,0
449,Planet Reisen SH.P.K.,///,811369190,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Podujeve,"94,864",28-10-2020,13,-1.91,-2.12,0
450,FRONI MINERAL SH.P.K.,///,811555468,Prodhimi i barnave,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",10/4/2020,42,5.77,6.53,0
451,AP Invest SH.P.K.,///,811566762,Agjensite e patundshmerise,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",23-10-2020,12,-0.8,-0.9,0
452,TalentI L.L.C.,///,810079774,Aktivitete sportive,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",10/4/2020,4,-5.2,-4.1,0
453,METAL XHELILI SH.P.K.,METAL XHELILI,811499484,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Kamenice,"36,155",27-10-2020,43,-3.31,-3.21,0
454,Albione Morina B.I.,ALBIONÃ M FASHION DESIGNER,811490599,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Gllogoc,"60,970",30-10-2020,43,-4.12,-3.21,0
455,ADI 10 SH.P.K.,ADI 10,811377789,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",22-10-2020,50,-0.49,-1.03,0
456,Golden Travel Reiseburo SH.P.K.,Golden Travel Reiseburo,811425116,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",27-10-2020,20,-2.12,-2.12,0
457,Te Garazhdat SH.P.K.,Te Garazhdat,811554874,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Gjakove,"98,476",27-10-2020,10,-3.96,-4.74,0
458,AGROSS SH.P.K.,///,810195322,Porodhimi me shumice,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,21,-3.31,-3.21,0
459,Labinot M. Gashi B.I.,Gashi Tours,811505603,Transporti urbane,Shoqeri me pergjegjesi te kufizuara,Malisheve,"62,738",15-09-2020,13,-1.91,-2.12,0
460,ROMA S SH.P.K.,ROMA S,811433440,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,38,-0.78,-1.03,0
461,Emrush Azemi B.I.,"N.T.P. "" EUROGRAF """,811101360,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Viti,"47,681",26-10-2020,21,1.2,1.3,0
462,Amidoni Group SH.P.K.,///,810710534,Agrikultura,Shoqeri me pergjegjesi te kufizuara,Lipjan,"57,707",26-10-2020,11,-0.4,-0.05,0
463,KOPRAMED SH.P.K.,///,811552836,Aktivitete spitalore,Shoqeri me pergjegjesi te kufizuara,Mitrovice,"75,502",28-10-2020,31,5.64,6.28,0
464,Tafil Kurtishaj B.I.,RESTAURANT FAMILJAR KAONI,811510826,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prizren,186375 banore,10/4/2020,35,-1.41,-4.74,0
465,Distribution Sin AV SH.P.K.,Distribution Sin AV,811441063,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,39,-0.78,-1.03,0
466,Genc Mecinaj B.I.,"D.P.Z.""Genci-M""",810759053,Agrikultura,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",22-10-2020,8,-0.07,-0.05,0
467,KOSOMED SH.P.K.,///,811233494,Farmaceutike,Shoqeri me pergjegjesi te kufizuara,Kacanik,"34,396",15-09-2020,5,5.3,5.8,0
468,10minuta SH.P.K.,///,811183219,Agjensione lajmesh,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",23-10-2020,16,1.53,1.3,0
469,Twins Dessert SH.P.K.,Twins Dessert,811563817,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",15-09-2020,9,3.1,2.78,0
470,MOTEL DELFIN SHPK SH.P.K.,MOTEL DELFIN SHPK,811311977,Hotele dhe akomodimi,Shoqeri me pergjegjesi te kufizuara,Gracanice,"12,124",27-10-2020,13,-3.21,-3.15,0
471,Fitness Servis L.L.C.,///,811507617,Palestra e fitnesit,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",30-10-2020,6,-5.32,-3.5,0
472,ER LEDI SH.P.K.,ER LEDI,811439860,Tregti e pijeve,Shoqeri me pergjegjesi te kufizuara,Malisheve,"62,738",27-10-2020,50,-1.54,-1.03,0
473,Caffe Bar Enisi SH.P.K.,///,811496175,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Fushe Kosove,"38,944",26-10-2020,25,-5.37,-4.74,0
474,Kosovo Sportmanagement SH.P.K.,///,810148793,Aktivitete sportive,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",27-10-2020,6,-4.32,-4.1,0
475,Bon Appetit Bakery Caffee SH.P.K.,Bon Bakery,811508623,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",23-10-2020,9,3.92,2.78,0
476,BOOTY LAB SH.P.K.,BOOTY LAB,811443803,Palestra e fitnesit,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,6,-5.37,-3.5,0
477,Jeton H. Bala B.I.,///,810195794,Tekstil,Shoqeri me pergjegjesi te kufizuara,Gllogoc,"60,970",23-10-2020,12,-2.26,-2.14,0
478,Dr Medical Corporation L.L.C.,///,811487041,Stomatologji,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",28-10-2020,6,-2.56,-2.98,0
479,Black Rose SH.P.K.,Black Rose,811562760,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",26-10-2020,25,-2.08,-4.74,0
480,Nebahate Kamberi B.I.,///,811557208,Furre e bukes,Shoqeri me pergjegjesi te kufizuara,Zubin Potok,"6,642",26-10-2020,9,3.02,2.78,0
481,WoWa Prishtina SH.P.K.,WoWa Prishtina,811549198,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",27-10-2020,26,-4.12,-4.74,0
482,Berlin Club SH.P.K.,///,811510636,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",22-10-2020,20,-2.56,-4.74,0
483,Shkelzim Qunaj B.I.,///,811217943,Agrikultura,Shoqeri me pergjegjesi te kufizuara,Gjilan,"93,450",30-10-2020,12,-0.4,-0.05,0
484,Nero House SH.P.K.,///,811551862,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Ferizaj,"108,610",15-09-2020,10,-2.12,-4.74,0
485,MISSINI PRISHTINA SH.P.K.,MISSINI PRISHTINA,811566556,Restaurante dhe aktivitete sherbyese,Shoqeri me pergjegjesi te kufizuara,Prishtine,"208,230",23-10-2020,23,-5.36,-4.74,0
486,BALKAN SKY,Prishtine,811562017,Transporti ajror,Shoqeri me pergjegjesi te kufizuara,Peje,"99,921",30-10-2020,33,-4.02,-3.95,0
487,Hemaject O.P.,///,70057331,Farmaceutike,Shoqeri me pergjegjesi te kufizuara,Prizren,"186,375",15-09-2020,4,5.94,5.8,0
